"BusinessName","StreetAddress","Locality","Region","Country","Website","Phone","Email","FreePhone","FaxNumber","Mobile","AdditionalPhone","URL"
"ToTal Property Services (Auckland) Ltd", "22 Gundry St Newton Auckland 1010", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "http://www.totalpropertyservices.co.nz", "09 302 2380", "reception@totalauckland.co.nz", "", "", "", "", "http://yellow.co.nz/y/total-property-services-gundry"
"OCS", "26 Virginia Ave East Eden Terrace Auckland", "Eden Terrace, Auckland City", "Auckland Region", "New Zealand", "http://www.ocs.co.nz", "09 300 9900", "", "", "", "", "", "http://yellow.co.nz/y/ocs-eden"
"New Zealand Air & Water Limited", "181A Foley Quarry Rd Albany R D 2 Auckland 3574", "Albany, North Shore", "Auckland Region", "New Zealand", "", "09 415 7416", "newzealandairandwater@gmail.com", "", "", "", "", "http://yellow.co.nz/y/new-zealand-air-water"
"Spot On Commercial Cleaners", "4 Blue Heron Rse Stanmore Bay Hibiscus Coast", "Stanmore Bay, Hibiscus Coast", "Auckland Region", "New Zealand", "http://www.spotoncleaners.co.nz", "09 428 4069", "office@spotoncleaners.co.nz", "", "", "", "", "http://yellow.co.nz/y/spot-on-commercial"
"Bubbles Cleaning Services Ltd", "Auckland", "", "Auckland Region", "New Zealand", "", "09 432 7890", "", "", "098135523", "", "", "http://yellow.co.nz/y/bubbles-cleaning-services"
"Green Acres", "Call Free", "", "Auckland Region", "New Zealand", "http://www.greenacres.co.nz", "0800 803 200", "", "", "", "", "", "http://yellow.co.nz/y/green-acres-greenacres"
"Blue Star Cleaning", "Auckland Massey Cellular phone", "Massey, West Auckland", "Auckland Region", "New Zealand", "http://www.bluestarcleaning.co.nz", "021 253 3132", "bluestarr@ihug.co.nz", "", "", "", "", "http://yellow.co.nz/y/blue-star-cleaning"
"Freer I R & S L", "2 Cape Hill Rd Pukekohe 2120", "Pukekohe, Pukekohe Area", "Auckland Region", "New Zealand", "", "09 238 3352", "", "", "", "", "", "http://yellow.co.nz/y/freer-irsl"
"Auckland Cleaners", "6 Clayton St Newmarket Auckland Call Free", "Newmarket, Auckland City", "Auckland Region", "New Zealand", "http://www.auckland-cleaners.co.nz", "09 985 6544", "service@auckland-cleaners.co.nz", "", "", "", "", "http://yellow.co.nz/y/auckland-cleaners"
"Professional Property & Cleaning Services Ltd", "PO Box 62105 Mt Wellington Auckland", "", "Auckland Region", "New Zealand", "http://www.proservice.co.nz", "09 258 5060", "info@proservice.co.nz", "", "09 258 5075", "", "", "http://yellow.co.nz/y/professional-property-cleaning-services"
"Top Cleaning", "", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "http://www.topcleaning.co.nz", "09 215 4795", "tiagoandrade7@hotmail.com", "", "", "", "", "http://yellow.co.nz/y/top-cleaning"
"Cleanaway Ltd", "71G Portage Rd Otahuhu Auckland", "Otahuhu, Auckland City", "Auckland Region", "New Zealand", "http://www.cleanaway.co.nz", "09 270 7964", "info@cleanaway.co.nz", "", "09 270 7965", "", "", "http://yellow.co.nz/y/cleanaway"
"Ofa Ki Malanata Commercial Cleaning Services", "38 Rosamund Ave Avondale Auckland 0600", "Avondale, Auckland City, Auckland City", "Auckland Region", "New Zealand", "", "09 629 0063", "ofa.ki.malanata@gmail.com", "", "", "", "", "http://yellow.co.nz/y/ofa-ki-malanata"
"Discount Cleaning Services", "1//28 Netherlands Ave Kelston Auckland", "Kelston, West Auckland", "Auckland Region", "New Zealand", "", "09 813 3949", "", "", "", "", "", "http://yellow.co.nz/y/discount-cleaning-services"
"Golden Dew Cleaning Services", "8 Essington Pl Half Moon Bay Auckland 2012", "Half Moon Bay, Manukau City, Manukau City", "Auckland Region", "New Zealand", "", "09 533 9689", "", "", "", "", "", "http://yellow.co.nz/y/golden-dew-cleaning"
"ABS Cleaning Services", "76 Urlich Dve Ranui Auckland", "Ranui, West Auckland", "Auckland Region", "New Zealand", "", "09 833 1054", "", "", "", "", "", "http://yellow.co.nz/y/abs-cleaning-services"
"Waiuku Commercial Cleaning 2003 Limited", "59 Edgewater Pde Waiuku Pukekohe 2123", "Waiuku, Waiuku Area", "Auckland Region", "New Zealand", "", "09 235 0377", "", "", "", "", "", "http://yellow.co.nz/y/waiuku-commercial-cleaning"
"Flying Goat Cleaning", "Call Free", "Snells Beach, Snells Beach Area", "Auckland Region", "New Zealand", "", "0800 969 594", "admin@flyinggoat.net", "", "", "", "", "http://yellow.co.nz/y/flying-goat-cleaning-snells"
"A1 NZ Cleaning & Services", "55 Baddeleys Beach Rd Omaha Warkworth 0986", "Tawharanui Peninsula, Warkworth Area", "Auckland Region", "New Zealand", "", "09 422 9421", "", "", "", "", "", "http://yellow.co.nz/y/a1-nz-cleaning"
"Total Cleaning Services Ltd", "PO Box 33010 Takapuna", "Takapuna, North Shore", "Auckland Region", "New Zealand", "", "09 484 0380", "", "", "", "", "", "http://yellow.co.nz/y/total-cleaning-services-takapuna"
"Civic Contractors Ltd", "132 Halsey St Auckland Central Auckland 1010", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "", "09 377 7873", "", "", "", "", "", "http://yellow.co.nz/y/civic-contractors-auckland"
"Parkwood Apartments Ltd Commercial Cleaners", "8 Moselle Ave Henderson Auckland", "Henderson, West Auckland", "Auckland Region", "New Zealand", "", "09 634 2965", "", "", "", "", "", "http://yellow.co.nz/y/parkwood-apartments-commercial"
"B G Partnership Ltd", "10 Seven Oaks Dve Pakuranga Auckland 2010", "Pakuranga, Manukau City", "Auckland Region", "New Zealand", "", "09 576 8859", "", "", "", "", "", "http://yellow.co.nz/y/bg-partnership"
"Guanghui Company Ltd", "11 Corfield Way East Tamaki Auckland 2013", "Burswood, Manukau City", "Auckland Region", "New Zealand", "", "09 273 5080", "", "", "", "", "", "http://yellow.co.nz/y/guanghui-company"
"WOW Cleaning Services Limited", "6/24 Harwood St Sandringham Auckland", "Sandringham, Auckland City", "Auckland Region", "New Zealand", "http://www.wowcleaning.co.nz", "09 940 6516", "info@wowcleaning.co.nz", "", "", "", "", "http://yellow.co.nz/y/wow-cleaning-services"
"L A Cleaning Services Ltd", "Glen Eden Auckland", "", "Auckland Region", "New Zealand", "", "09 813 4410", "", "", "", "", "", "http://yellow.co.nz/y/la-cleaning-services"
"Ace Kare Cleaning Services", "", "Browns Bay, North Shore", "Auckland Region", "New Zealand", "", "09 479 1011", "", "", "", "", "", "http://yellow.co.nz/y/ace-kare-cleaning"
"Quality Cleaning Services", "PO Box 331 181 Takapuna", "Takapuna, North Shore", "Auckland Region", "New Zealand", "", "09 489 8809", "", "", "", "", "", "http://yellow.co.nz/y/quality-cleaning-services"
"Pacific Cleaning Service Ltd", "8 Phillip Ave Glen Eden Auckland 0602", "Titirangi, West Auckland, West Auckland", "Auckland Region", "New Zealand", "", "09 813 5240", "", "", "", "", "", "http://yellow.co.nz/y/pacific-cleaning-service"
"PSC Cleaning", "43 Stamford Rd Mt Roskill Auckland", "Mount Roskill, Auckland City", "Auckland Region", "New Zealand", "", "09 625 4287", "", "", "", "", "", "http://yellow.co.nz/y/psc-cleaning"
"Sparkle Cleaning Services", "11 Marblewood Gro Pukekohe", "Pukekohe, Pukekohe Area", "Auckland Region", "New Zealand", "", "09 238 6331", "", "", "", "", "", "http://yellow.co.nz/y/sparkle-cleaning-services"
"Crawford Cleaning Ltd", "Auckland", "Sunnynook, North Shore", "Auckland Region", "New Zealand", "", "09 444 8443", "", "", "", "", "", "http://yellow.co.nz/y/crawford-cleaning"
"Red Coats Commercial Cleaning Services Ltd", "", "Albany, Albany", "Auckland Region", "New Zealand", "", "09 476 9300", "", "", "", "", "", "http://yellow.co.nz/y/red-coats-commercial"
"Luxary Cleaning Services Limited", "3/3 Parrish Rd Sandringham Auckland", "Sandringham, Auckland City", "Auckland Region", "New Zealand", "", "09 845 2050", "", "", "", "", "", "http://yellow.co.nz/y/luxary-cleaning-services"
"Enviro Site Services", "Unit A1, 169 Harris Rd East Tamaki Manukau", "East Tamaki, Manukau City", "Auckland Region", "New Zealand", "", "09 273 2900", "", "", "", "", "", "http://yellow.co.nz/y/enviro-site-services"
"Vaporclean Auckland", "Hibiscus Coast Auckland", "Hibiscus Coast", "Auckland Region", "New Zealand", "", "09 428 5916", "", "", "", "", "", "http://yellow.co.nz/y/vaporclean-auckland"
"@ Your Request Franchise Group", "36 Williamson Ave Ponsonby Auckland Call Free", "Grey Lynn, Auckland City", "Auckland Region", "New Zealand", "", "0800 297 266", "", "", "", "", "", "http://yellow.co.nz/y/your-request-franchise"
"At Your Services Commercial Care Ltd", "39 Medallion Dve Albany Auckland 0632", "Albany, North Shore", "Auckland Region", "New Zealand", "", "09 479 1688", "", "", "", "", "", "http://yellow.co.nz/y/at-your-services"
"Jani-King (NZ) Limited", "66 Hillside Rd Glenfield Auckland 0627", "Wairau Valley, North Shore, North Shore", "Auckland Region", "New Zealand", "", "09 441 9996", "", "", "", "", "", "http://yellow.co.nz/y/jani-king-nz"
"Raumati T J", "Marae O Rehia Rd R D 3 Waiuku Pukekohe", "Karioitahi, Waiuku Area", "Auckland Region", "New Zealand", "", "09 235 9437", "", "", "", "", "", "http://yellow.co.nz/y/raumati-tj"
"Vac Attack 2005 Ltd", "PO Box 2600-57 Howick East", "Pakuranga, Manukau City", "Auckland Region", "New Zealand", "", "09 576 6771", "", "", "", "", "", "http://yellow.co.nz/y/vac-attack-2005"
"Celtic Property Care", "56 Cyclarama Cre Massey Auckland 0614", "Massey, West Auckland", "Auckland Region", "New Zealand", "", "09 832 8370", "", "", "", "", "", "http://yellow.co.nz/y/celtic-property-care"
"Link Confidential Services Ltd", "PO Box 36472 Northcote Auckland", "Northcote, North Shore, North Shore", "Auckland Region", "New Zealand", "", "09 419 5346", "", "", "", "", "", "http://yellow.co.nz/y/link-confidential-services"
"Above & Beyond Cleaning Services", "Call Free", "Mount Roskill, Auckland City", "Auckland Region", "New Zealand", "", "0800 003 364", "", "", "", "", "", "http://yellow.co.nz/y/above-beyond-cleaning"
"AA Cleaning Ltd", "aa.clean@xtra.co.nz Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.aaclean.co.nz", "0800 211 688", "aaclean@xtra.co.nz", "", "", "", "", "http://yellow.co.nz/y/aa-cleaning"
"McTaggarts Cleaning Services", "106 Rhinevale Clo Henderson Auckland 0612", "Henderson, West Auckland", "Auckland Region", "New Zealand", "", "09 835 1431", "", "", "", "", "", "http://yellow.co.nz/y/mctaggarts-cleaning-services"
"Josie Cleaning", "Auckland Cellular phone", "", "Auckland Region", "New Zealand", "", "021 670 667", "", "", "", "", "", "http://yellow.co.nz/y/josie-cleaning"
"Spark Commercial Cleaning Services", "", "Mount Albert, Auckland City", "Auckland Region", "New Zealand", "", "09 815 9442", "", "", "", "", "", "http://yellow.co.nz/y/spark-commercial-cleaning"
"J & D Cleaning Co", "57 Hogans Rd Glenfield Auckland", "Glenfield, North Shore", "Auckland Region", "New Zealand", "", "09 441 9498", "", "", "", "", "", "http://yellow.co.nz/y/jd-cleaning-co"
"Downtown Cleaning Services", "2 Fort La Auckland", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "", "09 354 4423", "", "", "", "", "", "http://yellow.co.nz/y/downtown-cleaning-services"
"Topline Cleaning Services Ltd", "PO Box 8278 Symonds St", "", "Auckland Region", "New Zealand", "", "09 445 3474", "", "", "", "", "", "http://yellow.co.nz/y/topline-cleaning-services"
"Dirty Deeds Cleaning Ltd", "31 Commodore Ct Whangaparaoa Hibiscus Coast 0930", "Whangaparaoa, Hibiscus Coast", "Auckland Region", "New Zealand", "", "09 428 2163", "", "", "", "", "", "http://yellow.co.nz/y/dirty-deeds-cleaning"
"Custom Cleaning Services", "261 Otaua Rd Otaua Pukekohe 2682", "Otaua, Waiuku Area, Waiuku Area", "Auckland Region", "New Zealand", "", "09 235 7688", "", "", "", "", "", "http://yellow.co.nz/y/custom-cleaning-services"
"Kiwi Choice Cleaning", "", "Manurewa, Manukau City", "Auckland Region", "New Zealand", "", "09 275 0255", "", "", "", "", "", "http://yellow.co.nz/y/kiwi-choice-cleaning"
"Pacific Cleaning", "PO Box 47331 Ponsonby", "Ponsonby, Auckland City", "Auckland Region", "New Zealand", "", "09 638 8476", "", "", "", "", "", "http://yellow.co.nz/y/pacific-cleaning"
"Ray&#39;s Cleaning Services", "78 Marlborough Ave Glenfield Auckland 0629", "Glenfield, North Shore", "Auckland Region", "New Zealand", "", "09 443 3853", "", "", "", "", "", "http://yellow.co.nz/y/rays-cleaning-services"
"Alisa Zhang Cleaning Services Ltd", "", "Saint Johns, Auckland City", "Auckland Region", "New Zealand", "", "09 525 5189", "", "", "", "", "", "http://yellow.co.nz/y/alisa-zhang-cleaning"
"Fantastic Cleaning", "1 Wilbur Pl Pakuranga", "Pakuranga, Manukau City", "Auckland Region", "New Zealand", "", "09 577 2588", "", "", "", "", "", "http://yellow.co.nz/y/fantastic-cleaning-pakuranga"
"D Smart Cleaning Ltd", "3 Sid Pl Mangere Auckland 2022", "Mangere, Manukau City", "Auckland Region", "New Zealand", "", "09 275 6198", "", "", "", "", "", "http://yellow.co.nz/y/d-smart-cleaning"
"Central Cleaning Services Ltd", "", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "", "09 440 9016", "", "", "", "", "", "http://yellow.co.nz/y/central-cleaning-services"
"Daystar Cleaning Services", "Papakura Auckland 2110", "Papakura Area", "Auckland Region", "New Zealand", "", "09 296 9289", "", "", "", "", "", "http://yellow.co.nz/y/daystar-cleaning-services"
"Supercity Cleaning Services", "54E Alfred St Onehunga Auckland", "Onehunga, Auckland City", "Auckland Region", "New Zealand", "", "09 636 1503", "", "", "", "", "", "http://yellow.co.nz/y/supercity-cleaning-services"
"Jonalta Property Maintenance Ltd", "", "Mount Wellington, Auckland City", "Auckland Region", "New Zealand", "", "09 579 5696", "", "", "", "", "", "http://yellow.co.nz/y/jonalta-property-maintenance"
"Professional Cleaners of NZ", "38 Glenveagh Park Dve Manurewa Auckland", "Weymouth, Manukau City", "Auckland Region", "New Zealand", "", "09 269 2512", "", "", "", "", "", "http://yellow.co.nz/y/professional-cleaners-of"
"Diamond Commercial", "Auckland", "", "Auckland Region", "New Zealand", "", "09 627 3336", "", "", "", "", "", "http://yellow.co.nz/y/diamond-commercial"
"Practicing Perfection", "Hibiscus Coast", "Hibiscus Coast", "Auckland Region", "New Zealand", "", "09 426 9018", "", "", "", "", "", "http://yellow.co.nz/y/practicing-perfection-hibiscus"
"Rosebuds Solutions Ltd", "PO Box 102181 North Shore", "Albany, Albany", "Auckland Region", "New Zealand", "", "09 442 0948", "", "", "", "", "", "http://yellow.co.nz/y/rosebuds-solutions"
"KCCS Hygiene Management Solutions", "PO Box 84079 Westgate", "Massey, West Auckland", "Auckland Region", "New Zealand", "", "09 832 1160", "", "", "", "", "", "http://yellow.co.nz/y/kccs-hygiene-management"
"Four Seas Ltd", "", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "", "09 443 1320", "", "", "", "", "", "http://yellow.co.nz/y/four-seas"
"At Your Request", "Call Free", "", "Auckland Region", "New Zealand", "", "0800 297 297", "none@none.com", "", "", "", "", "http://yellow.co.nz/y/at-your-request"
"All Cleaning Services", "Auckland", "", "Auckland Region", "New Zealand", "", "09 277 0094", "", "", "", "", "", "http://yellow.co.nz/y/all-cleaning-services"
"CHS Services", "3 Mossford Grn Papakura Auckland 2113", "Papakura Area", "Auckland Region", "New Zealand", "", "09 298 5946", "", "", "", "", "", "http://yellow.co.nz/y/chs-services"
"Hot & Steamy Carpet Cleaning and Pest Control", "", "Glen Innes, Auckland City", "Auckland Region", "New Zealand", "", "09 528 0543", "", "", "", "", "", "http://yellow.co.nz/y/hot-steamy-carpet-cleaning"
"City Cleaning Services Ltd", "13 Galatos St Newton Auckland 1001 Call Free", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "", "0800 369 1199", "", "", "", "", "", "http://yellow.co.nz/y/city-cleaning-services-auckland"
"Commercial Cleaning Auckland Ltd", "Cellular phone", "", "Auckland Region", "New Zealand", "", "022 635 6688", "", "", "", "", "", "http://yellow.co.nz/y/commercial-cleaning-auckland-auckland-2"
